date,type,category,description,amount
2025-01-15,expense,Groceries,Weekly grocery shopping,5420.50
2025-01-16,expense,Fuel,Petrol for car,2000.00
2025-01-10,income,Paycheck,Monthly salary,45000.00
2025-01-20,expense,Restaurants,Dinner with family,1500.00
2025-01-22,expense,Phone,Mobile bill payment,599.00
2025-01-05,expense,Electricity,Monthly electricity bill,1200.00
2025-01-25,expense,Movies,Movie tickets,800.00
2025-01-28,income,Bonus,Performance bonus,5000.00
2025-01-12,expense,Rent/mortgage,Monthly rent,15000.00
2025-01-18,expense,Internet,Broadband bill,999.00
