date,type,category,description,amount
2025-01-01,income,Paycheck,January Salary,45000.00
2025-01-05,expense,Rent/mortgage,Monthly Rent Payment,15000.00
2025-01-06,expense,Electricity,Electricity Bill,1200.00
2025-01-07,expense,Internet,Broadband Bill,999.00
2025-01-08,expense,Phone,Mobile Bill,599.00
2025-01-10,expense,Groceries,Weekly Groceries,3500.00
2025-01-12,expense,Fuel,Petrol,2000.00
2025-01-15,expense,Restaurants,Family Dinner,1500.00
2025-01-18,expense,Movies,Movie Tickets,800.00
2025-01-20,expense,Groceries,Weekly Groceries,3200.00
2025-01-22,expense,Clothes,Shopping,2500.00
2025-01-25,income,Bonus,Performance Bonus,5000.00
2025-01-28,expense,Doctors/dental/vision,Medical Checkup,1500.00
2025-01-30,expense,Groceries,Monthly Groceries,4000.00
2025-02-01,income,Paycheck,February Salary,45000.00
2025-02-03,expense,Rent/mortgage,Monthly Rent Payment,15000.00
2025-02-05,expense,Electricity,Electricity Bill,1350.00
2025-02-07,expense,Internet,Broadband Bill,999.00
2025-02-08,expense,Phone,Mobile Bill,599.00
2025-02-10,expense,Groceries,Weekly Groceries,3800.00
